id,name,tagIdNumber,species,gender,stageOfLife,length,weight,tagDate,tagLocation,description,active,id,datetime,latitude,longitude
14,Poseidon,117474,White Shark (Carcharodon carcharias),Male,Immature,8ft 9in (2.7 meters),409 lbs.,21 March 2012,Mossel Bay,Poseidon was named by viewers,1,32744,29 March 2014 10:14:28 AM,-25.17054756,33.70182303
15,Lyla Grace,117469,White Shark (Carcharodon carcharias),Female,Immature,2 ft. 11 in.,750 lbs.,23 March 2012,Mossel Bay,Chris Fischer named Lyla Grace after his daughter,1,17022,15 March 2013 11:34:21 PM,-20.11549,37.39159
16,Miguel,117466,White Shark (Carcharodon carcharias),Male,Immature,10ft 2in (3.1 meters),657 lbs.,23 March 2012,Mossel Bay,Juan named Miguel after his brother.,1,23959,6 September 2013 6:58:34 AM,-34.18971,22.23955
18,Perseverance,117479,White Shark (Carcharodon carcharias),Female,Immature,8ft 8in (2.6 meters),134 lbs.,16 March 2012,Algoa Bay,"Chris Fischer named Perseverance. The crew hadn't caught a shark for 5 days, and then they caught Perseverance.",1,21137,5 July 2013 1:55:43 AM,-34.58318,21.81105
19,Philip,117471,White Shark (Carcharodon carcharias),Male,Immature,10ft 5in (3.2 meters),825 lbs.,12 April 2012,Gansbaai,Philip was named by Olie after his father,1,45755,12 June 2015 1:08:59 AM,-29.19933,31.8351
20,Nico,117476,White Shark (Carcharodon carcharias),Male,Immature,9ft 9in (3 meters),617 lbs.,12 April 2012,Gansbaai,Captain Brett McBride named Nico after his son.,1,29070,29 January 2014 12:06:59 AM,-34.64291,19.41728
21,Marcella,117467,White Shark (Carcharodon carcharias),Female,Immature,11ft 10in (3.6 meters),1154 lbs.,12 April 2012,Gansbaai,Jody named Marcella after his girlfriend.,1,20069,7 June 2013 6:59:13 PM,-34.14056,22.11632
24,Luis Antonio,118853,White Shark (Carcharodon carcharias),Male,Mature,10 ft. 10 in. (3.3 meters),909 lbs.,13 April 2012,Gansbaai,Luis named Luis Antonio after his son.,1,14780,9 December 2012 6:24:08 PM,-29.12723,32.05965
25,Cyndi,118852,White Shark (Carcharodon carcharias),Female,Mature,14 ft. 6 in. (4.4 meters),2257 lbs.,13 April 2012,Gansbaai,Dave Gallo named Cyndi after his wife.,1,47096,22 September 2015 12:00:43 AM,-34.78497,27.36755
26,Sellendilloh,118864,White Shark (Carcharodon carcharias),Male,Immature,8ft 3in (2.5 meters),319 lbs.,13 April 2012,Gansbaai,Darrel named Sellendilloh. Sellendilloh means long time longing,1,19260,25 May 2013 5:08:01 AM,-26.55529,32.96623
27,Redemption,118862,White Shark (Carcharodon carcharias),Male,Immature,10ft 6in (3.2 meters),826 lbs.,8 May 2012,Gansbaai,Chris Fischer named Redemption after their expedition was briefly shut down by the South African government due to a shark attack,1,9644,26 August 2012 12:48:22 PM,-34.64691,19.40259
28,Andre,118860,White Shark (Carcharodon carcharias),Male,Immature,9 ft. 6 in. (2.9 meters),504 lbs.,8 May 2012,Gansbaai,,1,41588,24 December 2014 7:57:33 AM,-35.31988,23.13918
29,Albert,118859,White Shark (Carcharodon carcharias),Male,Immature,9 ft. 8 in. (2.9 Meters),486 lbs.,8 May 2012,Gansbaai,Brett named Albert after his father.,1,15071,18 December 2012 12:12:19 PM,-34.23066,22.83495
30,Vindication,118846,White Shark (Carcharodon carcharias),Female,Immature,13ft 9in (4.2 meters),1460 lbs.,9 May 2012,Gansbaai,"Chris Fischer named Vindication. During our 2012 expedition off of South Africa we were temporarily shut down due to a fatal shark attack. After almost a month of being shut down, the crew was finally allowed to continue the expedition. Vindication was the 1st shark tagged once the crew was allowed back on the water.",1,33143,3 April 2014 5:18:58 PM,-34.1229,18.50717
31,Maddox,118845,White Shark (Carcharodon carcharias),Male,Mature,13ft 9in (4.2 meters),2100 lbs.,9 May 2012,Gansbaai,,1,24990,29 September 2013 2:02:41 PM,-29.05339,32.00327
32,Lisha,118863,White Shark (Carcharodon carcharias),Female,Immature,12 ft. 10 in. (3.9 meters),1337 lbs.,9 May 2012,Gansbaai,,1,33162,3 April 2014 9:48:57 PM,-27.63354,56.36876
33,Lesley,118847,White Shark (Carcharodon carcharias),Female,Immature,13 ft. 8 in. (4.2 meters),1742 lbs.,15 April 2012,False Bay,Todd named Lesley after his Grandmother,1,23470,30 August 2013 10:30:45 AM,-24.13625,35.66405
34,Edna,118848,White Shark (Carcharodon carcharias),Female,Undetermined,14 ft. 2 in. (4.3 meters),2803 lbs.,16 April 2012,False Bay,,1,3938,7 June 2012 7:52:16 PM,-29.35089,32.36102
35,Kathryn,118861,White Shark (Carcharodon carcharias),Female,Mature,15 ft. (4.6 meters),2430 lbs.,16 April 2012,False Bay,Alison Kock named Kathryn after her sister.,1,25939,27 October 2013 11:11:05 AM,-34.45334,19.33186
36,Success,118849,White Shark (Carcharodon carcharias),Female,Mature,16ft 7in (5.1 meters),3583 lbs.,22 May 2012,Struisbaai,Chris Fischer named Success because he believed their expedition in South Africa was a success.,1,20855,27 June 2013 11:54:07 AM,-34.29024,23.22335
37,Maureen,118850,White Shark (Carcharodon carcharias),Female,Mature,14ft 6in (4.4 meters),2239 lbs.,22 May 2012,Struisbaai,,1,16929,12 March 2013 2:26:53 PM,-33.89788,18.37992
38,Courage,118855,White Shark (Carcharodon carcharias),Male,Mature,12 ft. 6 in. (3.8 meters),1372 lbs.,23 May 2012,Struisbaai,Chris Fischer named Courage at the end of the expedition in South Africa.,1,33061,2 April 2014 2:53:56 AM,-28.1058,49.90936
39,Riley,117465,White Shark (Carcharodon carcharias),Male,Immature,10ft 3in (3.1 meters),664 lbs.,23 March 2012,Mossel Bay,Denny named Riley after his son.,1,30532,18 February 2014 9:26:32 AM,-34.61069,19.17144
40,Genie,121418,White Shark (Carcharodon carcharias),Female,Mature,14 ft. 8 in. (4.5 meters),2292 lbs.,13 September 2012,Cape Cod,"Dr. Greg Skomal was given the privilege of naming the first shark. To honor the founder of Mote Marine Laboratories he chose to name the almost 15 foot shark who weighed an estimated 2500 pounds, Genie after Eugenie Clark. Eugenie who became known as ""the shark lady"" started studying sharks back in the 50s and still does to this very day. ""She's a very special lady who inspired us all."" says Skomal.",1,45478,29 May 2015 5:53:33 AM,33.24771,-73.76618
41,Mary Lee,121425,White Shark (Carcharodon carcharias),Female,Mature,16 ft. (4.9 meters),3456 lbs.,17 September 2012,Cape Cod,"Mary Lee was named after OCEARCH expedition leader Chris Fischer's mother. 
â€œMy parents have done so much. I was waiting and waiting for a special shark to name after her and this is truly the most historic and legendary fish I have ever been a part of and it set the tone for Cape Cod,â€œ says Chris.",1,61439,23 April 2017 8:49:00 AM,31.1444,-77.10802
55,M/V OCEARCH,121424,Ship (Motor Vessel),N/A,Undetermined,126 ft.,581 tons,5 February 2013,Cape Cod,"The researchers OCEARCH supports work aboard the M/V OCEARCH, a unique 126â€™, 581 ton vessel equipped with a custom 75,000 lb. hydraulic lift and research platform, which serves as both mothership and at-sea laboratory.",1,47606,25 September 2015 10:00:00 PM,29.59138889,-95.58444444
56,Lydia,121420,White Shark (Carcharodon carcharias),Female,Mature,14 ft. 6 in. (4.4 meters),Approx. 2000 lbs.,3 March 2013,"Jacksonville, FL","Lydia was named after the founder of Bradley University, a long time friend of Caterpillar.",1,60410,15 March 2017 11:31:34 AM,27.45371,-77.18022
57,Lori Anne,121421,Bull Shark (Carcharhinus leucas),Female,Mature,7 ft. 8 in. (2.3 Meters),284 lbs.,13 June 2013,Boca Grande,"Lori Anne was tagged by Mote Marine Laboratory scientists with a fin-mounted SPOT5 transmitter that will provide near real-time location data for her for up to a year. This information will help us understand how she uses the habitat available to her in Boca Grande Pass and Charlotte Harbor as a whole, as well as track her annual migration. In the past, Bull Sharks tagged in Boca Grande Pass have moved as far away as the Bahamas.",1,21774,30 July 2013 4:31:33 PM,26.88904,-79.84442
58,Sabrina,121422,Bull Shark (Carcharhinus leucas),Female,Mature,8 ft. 6 in. (2.6 Meters),287 lbs.,14 June 2013,Boca Grande,"Sabrina was double-tagged by Mote Marine Laboratory scientists with a fin-mounted SPOT5 transmitter, for near real time location information, as well as a pop-up archival tag. Together these satellite tags will provide data that will contribute to our understanding of the movement, migration, and habitat utilization of Bull Sharks along the Florida Gulf coast.",1,20955,28 June 2013 12:37:40 AM,26.66541,-82.33105
59,Gina,121426,Bull Shark (Carcharhinus leucas),Female,Mature,8 ft. 2 in. (2.5 Meters),302 lbs.,14 June 2013,Boca Grande,"Gina is a mature-size female Bull Shark tagged by Mote Marine Laboratory scientists. Tracking sharks like Gina at this time of year can teach us about reproduction in this species by possibly providing insight into pupping and/or mating habitat in and around Charlotte Harbor, as well as track her long-term movements outside the area.",1,21213,9 July 2013 12:25:44 AM,26.2737,-82.67562
60,April,132344,Mako Shark (Isurus oxyrinchus),Female,Undetermined,5 ft.,103 lbs,28 July 2013,"Montauk, NY",,1,36539,17 June 2014 8:17:03 PM,39.65435,-71.98876
61,Rizzilient,132345,Mako Shark (Isurus oxyrinchus),Female,Undetermined,5 ft.,84 lbs.,28 July 2013,"Montauk, NY",,1,32216,19 March 2014 1:55:06 PM,41.39187,-8.78464
62,Princess,132343,Mako Shark (Isurus oxyrinchus),Female,Undetermined,5 ft. 6 in.,125 lbs.,28 July 2013,"Montauk, NY",,1,23677,2 September 2013 5:33:45 AM,40.47884,-73.25857
63,Beamer,132346,Blue Shark (Prionace glauca),Male,Undetermined,9 ft.,200 lbs.,28 July 2013,"Montauk, NY","Beamer was caught on the Blue Fin IV with Capt. Michael Potts by angler Mike Dâ€™Ecclesiis on July 28, 2013 during the Sharkâ€™s Eye Satellite Tag Tournament. The Montauk Public School 6th grade class named the blue shark Beamer.",1,36577,18 June 2014 9:36:58 AM,9.913181844,-83.61777125
64,Betsy,132352,White Shark (Carcharodon carcharias),Female,Immature,12 ft. 7 in.,"1,400 lb.",13 August 2013,Cape Cod,"Caterpillar Inc. fans named Betsy after ""Old Betsy,"" the nickname given to the prototype of Caterpillar's first diesel engine model.",1,56821,27 November 2016 2:04:22 AM,45.10331,-60.44268
65,Katharine,132360,White Shark (Carcharodon carcharias),Female,Immature,14 ft. 2 in.,"2,300 lb.",20 August 2013,Cape Cod,"Katharine, who was tagged off Cape Cod, Massachusetts, was named by Cat Products fans in honor of Katharine Lee Bates, a Cape Cod native and songwriter - best known for her poem and song ""America The Beautiful"", which has been called ""an expression of patriotism at its finest.""",1,61574,30 April 2017 9:13:50 AM,27.75442,-79.14577
88,Beatriz,105085,Silky Shark (Carcharhinus falciformis),Female,Mature,6 ft. 2 in.,127 lb.,19 January 2014,"Wolf Island, Galapagos Islands","Cat Products named Beatriz after Beatriz Parra Durango, Ecuadorâ€™s foremost classical soprano.",1,36665,22 June 2014 4:56:21 PM,1.71873,-92.08733
89,Encantada,105084,Silky Shark (Carcharhinus falciformis),Female,Mature,7 ft. 4 in.,151 lb.,20 January 2014,"Wolf Island, Galapagos Islands",David AcuÃ±a from the Charles Darwin Foundation named her Encantada. Encantada is the nickname of the Galapagos National Park.,1,33871,19 April 2014 1:06:17 PM,1.67098,-92.01047
90,Enric,103758,Tiger Shark (Galeocerdo cuvier),Male,Mature,11 ft 4 in,130 lb.,20 January 2014,"Darwin Arch, Galapagos Islands","The tiger shark was named after National Geographic explorer in residence Enric Sala, head of the Pristine Seas Initiative, which aims to help protect the last wild places in the ocean. Charles Darwin Foundation tagged the shark in collaboration with OCEARCH.",1,43902,9 April 2015 9:16:09 PM,-1.04492,-90.961
91,Manuelita,105155,Silky Shark (Carcharhinus falciformis),Female,Undetermined,7 ft 4 in.,151 lb.,20 January 2014,"Darwin Arch, Galapagos Islands","Named by Alex Hearn, Ph D.: Manuelita is one of the best dive spots at Cocos Islands. On this trip, we established connectivity between Cocos and Galapagos, when we detected a silky shark at Darwin that we tagged at Cocos on the 2011 expedition. Although Cocos and Galapagos are marine protected areas, once the sharks begin their migration from one site to the other, they are vulnerable to fishing gear. We are naming this silky shark Manuelita to highlight the connectivity between Galapagos and Cocos, and to begin building a case for a protected â€œshark swimwayâ€ between the two reserves.",1,30039,11 February 2014 10:52:49 AM,1.69802,-92.01958
92,Lonesome Jorgita,132351,Blacktip Shark (Carcharhinus limbatus),Female,Undetermined,6 ft. 2 in.,176 lb.,20 January 2014,"Playa Millonario Baltra, Galapagos Islands","Yasmania from Galapagos National Park named Lomesome Jorgita. Lonesome George, a giant tortoise from the island of Pinta in the northern regions of the Galapagos Archipelago, was the last known survivor of the Pinta tortoise (Chelonoidis abingdoni). He was considered one of the rarest creatures in the world and became a conservation icon. Lonesome George was born before 1912 and died June 24, 2012.",1,36633,20 June 2014 11:44:53 AM,-0.47315,-90.31651
93,Judy,121415,Blacktip Shark (Carcharhinus limbatus),Female,Undetermined,7 ft. 1/2 in.,186 lb.,6 February 2014,GalÃ¡pagos Islands,"Judy was named after one of the founders of Costa Sunglasses, a longtime friend and partner in conservation. â€œWe support the OCEARCH mission to replace fear with facts when it comes to learning more about the oceanâ€™s giants,â€ said Al Perkinson, vice president of marketing for Costa Sunglasses. â€œThe more we can understand about how the oceans function, the better equipped weâ€™ll be to help protect them.â€",1,34813,11 May 2014 12:21:09 PM,-0.43636,-90.28923
94,Berlanga,132348,Blacktip Shark (Carcharhinus limbatus),Female,Mature,6 ft. 7 in.,105 lb.,20 January 2014,"Playa Millonario Baltra, Galapagos Islands",Named by Gonzallo from Galapagos National Park after Thomas de Berlanga who discovered Galapagos Island. Chris Fischer and Alex Hearn also had the privilege to speak to a local school named after Berlanga during Expedition Galapagos.,1,34145,25 April 2014 12:49:58 PM,-0.47667,-90.29276
95,Guayasamin,132354,Blacktip Shark (Carcharhinus limbatus),Female,Mature,6 ft. 7 in.,116 lb.,20 January 2014,"Playa Millonario Baltra, Galapagos Islands","Named after Escuela Oswaldo Guayasamin, the local school Chris Fischer, Alex Hearn (TIRN), David Acuna (FCD), and Yasmania (PNG) visited during Expedition Galapagos.",1,38023,8 August 2014 9:17:26 AM,-0.41052,-90.2801
96,Sylvia,132361,Blacktip Shark (Carcharhinus limbatus),Female,Undetermined,6 ft. 11 in.,,20 January 2014,"Mosquera Island, Galapagos Islands","Named after Sylvia Earle, American oceanographer, explorer, author, and lecturer.",1,36811,29 June 2014 9:05:08 PM,-0.44068,-90.28381
97,Gisela,132350,Blacktip Shark (Carcharhinus limbatus),Female,Undetermined,6 ft 8 in.,109 lb,20 January 2014,"Mosquera Island, Galapagos Islands","Gisela was named for Gisela Haschke Lyons wife, mother and grandmother who never met an animal she did not immediately love.",1,32908,31 March 2014 1:48:51 PM,-0.37823,-90.33955
98,Floreana,132347,Blacktip Shark (Carcharhinus limbatus),Female,Undetermined,6 ft. 11 in.,,20 January 2014,GalÃ¡pagos Islands,David Acuna of the Charles Darwin Foundation named Floreana after the island in Galapagos.,1,38860,1 September 2014 10:08:24 AM,-0.37863,-90.29648
99,Saltarina,70695,Blacktip Shark (Carcharhinus limbatus),Female,Undetermined,6 ft. 3 in.,,20 January 2014,"Playa Millonario Baltra, Galapagos Islands","Named by Cesar from Galapagos National Park after the shark behavior, a quick jumper.",1,31972,14 March 2014 12:58:27 AM,-0.48968,-90.29596
100,Pat,132359,Blacktip Shark (Carcharhinus limbatus),Female,Undetermined,6 ft. 7 in.,,20 January 2014,"Playa Millonario Baltra, Galapagos Islands",Named for Pat Mullins for her love of children and grandchildren,1,35244,22 May 2014 7:04:41 AM,-0.45589,-90.28842
101,Esperanza,132356,Tiger Shark (Galeocerdo cuvier),Female,Undetermined,9 ft.,,20 January 2014,"Itabaca Channel, Galapagos Islands",Esperanza means hope in Spanish. As we close this expedition we leave hopeful for a change and conservation of the Galapagos marine Reserve as well as all the Easter Pacific. We hope that the local institutions will continue the arduous work on land and on the ocean.,1,35437,27 May 2014 12:34:22 PM,-0.48127,-90.34898
102,Emma,121416,Tiger Shark (Galeocerdo cuvier),Female,Undetermined,8 ft. 3 in.,,20 January 2014,"Itabaca Channel, Galapagos Islands","Emma was named after Emma Darwin, the wife of Charles Darwin the English naturalist, scientist and author of â€œOn the Origin of Speciesâ€.",1,38790,29 August 2014 11:47:34 AM,2.10503,-80.81086
103,Itabaca,132358,Tiger Shark (Galeocerdo cuvier),Female,Undetermined,8 ft. 2 in.,,20 January 2014,"Itabaca Channel, Galapagos Islands",Tiger shark Itabca was named after the canal where the crew found the four tigers on the last day of the expedition.,1,37049,22 July 2014 12:33:37 AM,-0.55376,-90.18634
104,Yolanda,121417,Tiger Shark (Galeocerdo cuvier),Female,Undetermined,12 ft. 7in.,,20 January 2014,"Itabaca Channel, Galapagos Islands","Yolanda was named by Cat Products after Yolanda Kakabadse Navarro, the former presidents of the World Wildlife Fund International and International Union for Conservation of Nature who dedicated her life and career to the protection and awareness of the environment and environmental issues, not only in Ecuador, but worldwide.",1,41682,30 December 2014 11:46:20 PM,-0.49887,-90.50394
105,Susan,57613,Hammerhead Shark (Sphyrna),Female,Undetermined,,,20 January 2014,"Mosquera Island, Galapagos Islands",Susan is named for Susan G. Komen; Peoria native and breast cancer survivor.,1,29727,7 February 2014 8:49:21 AM,-0.4066333848,-90.28210394
106,Marilin,70659,Hammerhead Shark (Sphyrna),Female,Undetermined,,,20 January 2014,"Mosquera Island, Galapagos Islands","Marilin is named after Marilin Cruz, the director of the Galapagos bio-security agency and sister of the Charles Darwin Foundationâ€™s sub-director Felipe Cruz.",1,29728,7 February 2014 8:53:24 AM,-0.4066333848,-90.28210394
107,Nemo,70591,Hammerhead Shark (Sphyrna),Female,Undetermined,5.16 ft,,20 January 2014,"Mosquera Island, Galapagos Islands",Captain Brett McBride named Nemo because of the deformity on her pectoral fin.,1,30925,24 February 2014 3:51:39 AM,0.52877,-97.41092
108,Sherril,70698,Hammerhead Shark (Sphyrna),Female,Undetermined,4.41 ft,,20 January 2014,"Mosquera Island, Galapagos Islands",Named for Sherrill West the first woman to achieve the position of Vice President at Caterpillar. She was instrumental in solidifying Caterpillarâ€™s position as a technology leader.,1,29730,7 February 2014 9:00:44 AM,-0.4066333848,-90.28210394
109,Isabela,70590,Hammerhead Shark (Sphyrna),Female,Undetermined,,,20 January 2014,"Mosquera Island, Galapagos Islands",Named after Isabela Island in the Galapagos Islands.,1,29731,7 February 2014 9:02:16 AM,-0.4066333848,-90.28210394
110,Nicole,70699,Hammerhead Shark (Sphyrna),Female,Undetermined,4.66 ft,,20 January 2014,"Mosquera Island, Galapagos Islands",Named after Mate Alex Snow sister-in-law.,1,30551,18 February 2014 11:57:30 AM,-0.41823,-90.29665
111,Caroline,70690,Hammerhead Shark (Sphyrna),Female,Undetermined,4.41 ft,,20 January 2014,"Mosquera Island, Galapagos Islands",,1,30911,23 February 2014 8:32:57 PM,2.05806,-97.3264
112,Gabriela,136724,Blue Shark (Prionace glauca),Female,Immature,3.75 ft,,12 April 2014,Chile,"Cat Products named Gabrela, with the help of OCEARCH fan Christina Penner, after Gabriela Mistral, the pseudonym of Lucila Godoy Alcayaga, a Chilean poet-diplomat, educator and feminist who was the first Latin American to win the Nobel Prize in Literature in 1945.",1,34937,15 May 2014 12:47:15 AM,-30.97916,-78.28664
113,Michelle,136727,Blue Shark (Prionace glauca),Female,Immature,5.54 ft,,7 April 2014,Chile,"Cat Products named Michelle, with the help of OCEARCH fan Kay Brimage-Minkel, after Michele Bachelet, the first female President of Chile.",1,34611,6 May 2014 11:25:52 PM,-31.21465,-78.36341
114,Luis,136725,Blue Shark (Prionace glauca),Male,Immature,4.17 ft,,7 April 2014,Chile,"Cat Products named Luis, with the help of OCEARCH fan Kay Brimage-Minkel, after Luis UrzÃºa, the Chilean miner from the 2010 mining accident who mobilized a team who worked together to ensure that every man survived and thrived in the worst of conditions.",1,35297,23 May 2014 3:45:34 PM,-19.59155,-82.37071
115,Pablo,136726,Mako Shark (Isurus oxyrinchus),Male,Immature,5.25 ft,,7 April 2014,Chile,"Cat Products named Pablo, with the help of OCEARCH fan Henry Holt, after Pablo Neruda, the Chilean poet-diplomat and politician who won the Nobel Prize for Literature in 1971.",1,49432,12 February 2016 2:17:35 PM,-36.01075,-73.529
116,Sylvia Saez,136728,Blue Shark (Prionace glauca),Female,Immature,4.88 ft,,7 April 2014,Chile,,1,34019,22 April 2014 8:04:09 PM,-28.65648,-74.31998
117,Leon III,136729,Blue Shark (Prionace glauca),Male,Immature,4.83 ft,,7 April 2014,Chile,"Dr. Julio Lamilla named this shark after LeÃ³n Tercero Matamala, a permanent assistant in the Laboratory of Ichthiology of the Universidad Austral in Valdivia, Chile. He devoted his life to science, always ready to help both in field and lab. He died of a brain tumor in February of 2013.",1,35101,18 May 2014 9:03:21 AM,-30.12295,-76.43594
118,Diane,136730,Blue Shark (Prionace glauca),Female,Immature,4.63 ft,,7 April 2014,Chile,"Diane was named after Diane Lantz-Rickard, Caterpillar Global Brand Marketing Manager, who is passionate about the ocean and understands that a healthy ocean depends on healthy shark populations. ""We all have a role to play when it comes to doing the best for our worldâ€¦""",1,36252,8 June 2014 11:36:01 AM,-30.39831,-75.32382
119,Miss Michalove,136718,Tiger Shark (Galeocerdo cuvier),Female,Mature,11'2,650 lbs,5 May 2014,"Port Royal Sound, South Carolina","""Miss Michalove"" was the first tiger shark tagged by the cooperative project. Captain Chip Michalove named her in honor of his mother who passed from cancer in 1998. She pushed Captain Chip to follow his true passion and inspired him to stick with what he loves.",1,48118,24 November 2015 11:05:34 AM,32.50745,-79.99349
120,Fritz,132357,Tiger Shark (Galeocerdo cuvier),Male,Mature,10'4,425 lb,8 May 2014,"Port Royal Sound, South Carolina","â€œFritzâ€ was named in honor of former US Senator Ernest â€œFritzâ€ Hollings. Senator Hollings was a champion for conservation of natural resources in SC as well as protection of ocean resources. He pushed to establish the National Oceanic and Atmospheric Administration (NOAA), and was involved in the passage of the National Coastal Zone Management Act, the Marine Mammal Protection Act, the Ocean Dumping Act and the Fishery Conservation and Management Act.",1,37565,28 July 2014 7:30:04 PM,34.61921,-76.29839
121,Al,136732,Tiger Shark (Galeocerdo cuvier),Male,Immature,9'2,250 lb,8 May 2014,"Port Royal Sound, South Carolina","Al is named after Al Perkinson, a visionary leader in conservation who serves as the VP Marketing for Costa Sunglasses - a global leader in performance sunglasses and inland and offshore marine conservation.
""To a man who has given so much to our journey! Both you and Costa have been beside us since the beginning. You have been a friend, counselor, and true ocean champion through the high's and the low's. I know you would not have let us do this for you if we had askedâ€¦ so from all of us at OCEARCH, this is our gift to you for all you've done for the ocean and the planet. If you can surprise me with a Fisch frame, I can surprise you with an Al - Tiger Shark in the Carolinas! "" Said Expedition Leader Chris Fischer",1,35654,1 June 2014 11:51:10 AM,31.93485176,-80.83400016
122,Anne Morrow,136716,Tiger Shark (Galeocerdo cuvier),Female,Mature,10'2,500 lbs,22 May 2014,"Port Royal Sound, South Carolina","""Anne Morrow"" was named in honor of biologist Bryan Frazier's wife, Anne, who recently gave birth to their second child.",1,37420,25 July 2014 5:20:27 PM,31.33546,-80.73115
123,Betsy's Accelerometer,132130,White Shark (Carcharodon carcharias),Female,Undetermined,,,4 June 2014,Cape Cod,Please note: This is not a shark. This is white shark Betsy's Accelerometer tag. OCEARCH and Dr. Nick Whitney are hopping to recover the tag.,1,36183,6 June 2014 6:07:03 AM,38.07355,-39.54276
124,Septima,136714,Tiger Shark (Galeocerdo cuvier),Female,Mature,12â€™8â€,"1,000 lbs",30 May 2014,"Port Royal Sound, South Carolina","â€œSeptimaâ€ is named in honor of American educator, civil rights activist and South Carolina native Septima Poinsette Clark. Septima was considered the â€œQueen Motherâ€ of the civil rights movement, and established â€œCitizenship Schoolsâ€ teaching reading to adults throughout the southern United States.",1,39591,25 September 2014 11:01:45 AM,35.90723,-74.47037
125,Amy,136733,Tiger Shark (Galeocerdo cuvier),Female,Mature,10'5,475 lbs,14 June 2014,"Port Royal Sound, South Carolina","Amy is named after Amy Kuehner. Carl and Amy Kuehner have done so much for the world it's impossible to describe in less than a novel. From Carl's Chairmanship of the National Fish and Wildlife Foundation (NFWF), to their support of OCEARCH through some of our most difficult times, the Kuehners have ""walked the walk"" in giving back to our planet. They have given time, treasure, and unbridled positive energy while selflessly supporting the future of our land, ocean and all the creatures that inhabit earth. It's a privilege to be able to name a shark after Amy as a sign of gratitude for all they both have done.",1,36906,8 July 2014 6:31:56 AM,32.1641696,-80.58054548
126,Clara,136731,Tiger Shark (Galeocerdo cuvier),Female,Immature,"8'8""",175 lbs,16 July 2014,"Port Royal Sound, South Carolina","Named in honor of Clara Barton, founder of the American Red Cross. In 1893 Clara was stationed in the South Carolina lowcountry helping to care for wounded from the Civil Warâ€™s Union and Confederate soldiers. That year a powerful hurricane struck the lowcountry coast, killing 2,000 residents. Clara led the â€œSea Islands Relief Effortâ€ helping lowcountry residents survive and rebuild from the devastating hurricane.",1,36966,16 July 2014 6:47:27 AM,32.1641696,-80.58054548
